Game Title,Developer,Type,Price
Halo: Reach,Bungie, multiplayer,"84,99 €"
Galactic Civilizations II: Dark Avatar,Stardock, singleplayer,"78,99 €"
Mass Effect,BioWare, singleplayer,"87,99 €"
Crusader Kings III,Paradox Interactive, multiplayer,"84,99 €"
Forza Motorsport 4,Turn 10, multiplayer,"83,99 €"
Battlefield 2,Digital Illusions, multiplayer,"84,99 €"
Planescape: Torment,Black Isle Studios, singleplayer,"92,99 €"
Gears of War 3,Epic Games, multiplayer,"81,99 €"
Killzone 2,Guerrilla, multiplayer,"81,99 €"
Neverwinter Nights,BioWare, multiplayer,"82,99 €"
Castlevania: Aria of Sorrow,KCET, multiplayer,"89,99 €"
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,Monolith Productions, ,"86,99 €"
Legacy of Kain: Soul Reaver,Crystal Dynamics, singleplayer,"90,99 €"
Dragon Age: Origins,BioWare, singleplayer,"88,99 €"
Golden Sun,Camelot Software Planning, multiplayer,"90,99 €"
Disco Elysium,ZA/UM, singleplayer,"84,99 €"
SteamWorld Heist: Ultimate Edition,Image & Form, singleplayer,"83,99 €"
The Legend of Zelda: A Link Between Worlds,Nintendo, singleplayer,"90,99 €"
NieR: Automata - Game of the YoRHa Edition,PlatinumGames, singleplayer,"87,99 €"
Castlevania: Circle of the Moon,KCEK, singleplayer,"83,99 €"
Shovel Knight: Treasure Trove,Yacht Club Games, singleplayer,"82,99 €"
flower,Bluepoint Games, singleplayer,"73,99 €"
Mario Kart DS,Nintendo, singleplayer,"87,99 €"
Call of Duty,Infinity Ward, multiplayer,"84,99 €"
Mario Golf,Camelot Software Planning, multiplayer,"80,99 €"
Crash Bandicoot 3: Warped,Naughty Dog, singleplayer,"90,99 €"
Project Gotham Racing 2,Bizarre Creations, multiplayer,"87,99 €"
Animal Crossing: New Horizons,Nintendo, multiplayer,"55,99 €"
World of Warcraft: Cataclysm,Blizzard Entertainment, multiplayer,"58,99 €"
Rayman 2: The Great Escape,Ubisoft Montpellier, singleplayer,"88,99 €"
Diablo III: Ultimate Evil Edition,Blizzard Entertainment, multiplayer,"79,99 €"
ICO,SCE Japan Studio, singleplayer,"88,99 €"
Mario & Luigi: Superstar Saga,Alphadream Corporation, multiplayer,"89,99 €"
Ape Escape,SCEI, singleplayer,"84,99 €"
Syphon Filter,Eidetic, singleplayer,"88,99 €"
Mario & Luigi: Bowser's Inside Story,Alphadream Corporation, singleplayer,"88,99 €"
Trials Evolution,Ubisoft, ,"80,99 €"
Grand Theft Auto IV: The Lost and Damned,Rockstar North, ,"80,99 €"
Ratchet & Clank: Going Commando,Insomniac Games, singleplayer,"89,99 €"
NBA Street Vol. 2,Electronic Arts, multiplayer,"87,99 €"
Tennis 2K2,Hitmaker, ,"79,99 €"
Black & White,Lionhead Studios, ,"77,99 €"
The Legend of Zelda: The Wind Waker HD,Nintendo, singleplayer,"90,99 €"
Portal,Valve Software, singleplayer,"92,99 €"
Tetris Effect,Enhance Games, singleplayer,"66,99 €"
The Legend of Zelda: Phantom Hourglass,Nintendo, multiplayer,"80,99 €"
Dance Dance Revolution,Konami, multiplayer,"84,99 €"
Advance Wars: Dual Strike,Intelligent Systems, singleplayer,"88,99 €"
NieR: Automata - Become as Gods Edition,PlatinumGames, singleplayer,"90,99 €"
Jak and Daxter: The Precursor Legacy,Naughty Dog, singleplayer,"88,99 €"
Star Wars Rogue Leader: Rogue Squadron II,Factor 5, singleplayer,"86,99 €"
Stephen's Sausage Roll,increpare, singleplayer,"55,99 €"
NCAA Football 2002,EA Sports, multiplayer,"84,99 €"
Deus Ex,Ion Storm, multiplayer,"92,99 €"
Donkey Kong 64,Rare Ltd., multiplayer,"86,99 €"
Panzer Dragoon Orta,Smilebit, singleplayer,"84,99 €"
Portal: Still Alive,Valve Software, singleplayer,"86,99 €"
Half-Life 2: Episode Two,Valve Software, singleplayer,"92,99 €"
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,Starbreeze, singleplayer,"86,99 €"
Shin Megami Tensei: Persona 4,Atlus Co., singleplayer,"77,99 €"
Hollow Knight,Team Cherry, singleplayer,"90,99 €"
Blast Corps,Rare Ltd., singleplayer,"83,99 €"
Sid Meier's Civilization III,Firaxis Games, singleplayer,"84,99 €"
NFL 2K2,Visual Concepts, ,"71,99 €"
WWF SmackDown! 2: Know Your Role,Yuke's, multiplayer,"84,99 €"
Silent Hunter III,Ubisoft, multiplayer,"78,99 €"
Dead Space 2,Visceral Games, multiplayer,"86,99 €"
Pikmin 2,Nintendo, multiplayer,"90,99 €"
Geometry Wars: Retro Evolved 2,Bizarre Creations, multiplayer,"83,99 €"
Sid Meier's Civilization V,Firaxis Games, multiplayer,"80,99 €"
Super Mario 3D Land,Nintendo, singleplayer,"84,99 €"
Mario Kart 8 DLC Pack 2,Nintendo, ,"89,99 €"
Falcon 4.0: Allied Force,Lead Pursuit, multiplayer,"77,99 €"
Deus Ex: Human Revolution,Nixxes Software, singleplayer,"85,99 €"
Metroid Prime 3: Corruption,Retro Studios, singleplayer,"88,99 €"
Flight Simulator 2002,Microsoft Game Studios, ,"73,99 €"
Banjo-Tooie,Rare Ltd., ,"88,99 €"
Uncharted: Drake's Fortune,Naughty Dog, singleplayer,"79,99 €"
Warcraft III: The Frozen Throne,Blizzard Entertainment, multiplayer,"92,99 €"
Tactics Ogre: The Knight of Lodis,Quest, multiplayer,"88,99 €"
Starcraft,Blizzard Entertainment, multiplayer,"91,99 €"
The Last of Us: Left Behind,Naughty Dog, multiplayer,"47,99 €"
Star Wars Pinball: Balance of the Force,Zen Studios, singleplayer,"61,99 €"
The Secret of Monkey Island: Special Edition,LucasArts, singleplayer,"84,99 €"
Project Gotham Racing 3,Bizarre Creations, multiplayer,"79,99 €"
The World Ends with You,Jupiter Corporation, singleplayer,"87,99 €"
Dishonored 2,Arkane Studios, singleplayer,"80,99 €"
Injustice 2: Legendary Edition,NetherRealm Studios, multiplayer,"77,99 €"
Divinity: Original Sin Enhanced Edition,Larian Studios Games, multiplayer,"80,99 €"
Minecraft: Xbox One Edition,4J Studios, multiplayer,"73,99 €"
JSRF: Jet Set Radio Future,Smilebit, multiplayer,"83,99 €"
Red Faction,Volition Inc., multiplayer,"79,99 €"
Myth II: Soulblighter,Bungie Software, multiplayer,"88,99 €"
Ninja Gaiden Sigma,Team Ninja, singleplayer,"76,99 €"
Fire Emblem Fates: Special Edition,Intelligent Systems, multiplayer,"80,99 €"
Pinball FX 2,Zen Studios, multiplayer,"82,99 €"
Final Fantasy Tactics: The War of the Lions,TOSE, singleplayer,"91,99 €"
NHL 11,Electronic Arts, multiplayer,"77,99 €"
Wario Land 4,Nintendo, ,"87,99 €"
Metroid Dread,Mercury Steam, singleplayer,"88,99 €"
The Elder Scrolls III: Morrowind Game of the Year Edition,Bethesda Softworks, singleplayer,"86,99 €"
WarioWare: Twisted!,Nintendo, singleplayer,"87,99 €"
Halo: The Master Chief Collection - Halo 3,343 Industries, multiplayer,"79,99 €"
Pokemon Y,Game Freak, multiplayer,"75,99 €"
Return to Castle Wolfenstein,Gray Matter, multiplayer,"87,99 €"
Ratchet & Clank: Rift Apart,Insomniac Games, singleplayer,"87,99 €"
NBA Street,EA Sports, multiplayer,"60,99 €"
Shogo: Mobile Armor Division,Monolith Productions, multiplayer,"84,99 €"
Thirty Flights of Loving,Blendo Games, ,"50,99 €"
Hearthstone: Heroes of Warcraft,Blizzard Entertainment, multiplayer,"58,99 €"
Unity of Command II,2x2 Games, singleplayer,"77,99 €"
Ghost of Tsushima: Director's Cut,Sucker Punch, ,"67,99 €"
Grand Theft Auto: Liberty City Stories,Rockstar North, singleplayer,"77,99 €"
Medieval II: Total War,Creative Assembly, multiplayer,"90,99 €"
Super Mario Maker 2,Nintendo, multiplayer,"85,99 €"
Sly 2: Band of Thieves,Sucker Punch, singleplayer,"90,99 €"
Doom 3,Vicarious Visions, multiplayer,"81,99 €"
Tekken: Dark Resurrection,Namco Bandai Games, multiplayer,"86,99 €"
The Stanley Parable,Davey Wreden, singleplayer,"80,99 €"
Slay the Spire,Mega Crit Games, singleplayer,"69,99 €"
Guacamelee! Gold Edition,DrinkBox Studios, singleplayer,"75,99 €"
Counter-Strike: Source,Valve Software, multiplayer,"89,99 €"
Fire Emblem,Intelligent Systems, multiplayer,"90,99 €"
Fire Emblem Fates: Revelation,Intelligent Systems, ,"73,99 €"
Need for Speed: High Stakes,EA Canada, multiplayer,"85,99 €"
Street Fighter III: Third Strike Online Edition,Iron Galaxy Studios, multiplayer,"72,99 €"
Professor Layton and the Unwound Future,Level 5, singleplayer,"87,99 €"
We Love Katamari,Namco, multiplayer,"88,99 €"
Worldwide Soccer Manager 2008,Sports Interactive, ,"73,99 €"
Dance Central 2,Harmonix Music Systems, ,"81,99 €"
Sly Cooper and the Thievius Raccoonus,Sucker Punch, singleplayer,"85,99 €"
IL-2 Sturmovik: Forgotten Battles,1C, multiplayer,"80,99 €"
DiRT 3,Codemasters, ,"70,99 €"
Minecraft: PlayStation 3 Edition,4J Studios, multiplayer,"68,99 €"
Devotion,Red Candle Games, singleplayer,"78,99 €"
The Legend of Zelda: Four Swords Adventures,Nintendo, multiplayer,"75,99 €"
Joe Danger,Hello Games, ,"77,99 €"
Tales of Symphonia,Namco, singleplayer,"90,99 €"
Unreal Tournament 2003,Digital Extremes, multiplayer,"78,99 €"
Age of Wonders II: The Wizard's Throne,Triumph Studios, multiplayer,"85,99 €"
Daytona USA,Amusement Vision, ,"85,99 €"
Links 2001,Microsoft Game Studios, multiplayer,"63,99 €"
EverQuest: The Ruins of Kunark,Sony Online Entertainment, multiplayer,"85,99 €"
Full Throttle,LucasArts, ,"86,99 €"
Katamari Damacy,Namco, multiplayer,"88,99 €"
The Lord of the Rings Online: Shadows of Angmar,Turbine Inc., multiplayer,"80,99 €"
Grand Theft Auto: Vice City Stories,Rockstar Leeds, singleplayer,"82,99 €"
Pony Island,Daniel Mullins Games, singleplayer,"74,99 €"
"Warhammer 40,000: Dawn of War",Relic, multiplayer,"87,99 €"
MLB The Show 19,Sony Interactive Entertainment, multiplayer,"76,99 €"
Tales From Space: Mutant Blobs Attack,DrinkBox Studios, ,"83,99 €"
Max Payne 3,Rockstar Games, multiplayer,"79,99 €"
Skate,EA Black Box, multiplayer,"84,99 €"
Warhammer Online: Age of Reckoning,EA Mythic, multiplayer,"79,99 €"
NHL 12,Electronic Arts, multiplayer,"71,99 €"
Dead Space (2008),EA Redwood Shores, singleplayer,"82,99 €"
Advance Wars: Days of Ruin,Intelligent Systems, singleplayer,"87,99 €"
The Elder Scrolls IV - Knights of the Nine,Bethesda Softworks, singleplayer,"75,99 €"
Final Fantasy IV Pixel Remaster,Square Enix, singleplayer,"73,99 €"
Forza Horizon 2,Playground Games, multiplayer,"83,99 €"
Monster Train,Shiny Shoe, multiplayer,"83,99 €"
Crypt of the NecroDancer: Nintendo Switch Edition,Brace Yourself Games, singleplayer,"72,99 €"
Moto Racer Advance,Delphine Software International, ,"86,99 €"
Command & Conquer: Red Alert 2 - Yuri's Revenge,Westwood Studios, multiplayer,"89,99 €"
Europa Universalis,Paradox Development Studio, multiplayer,"76,99 €"
IL-2 Sturmovik: 1946,1C: Maddox Games, singleplayer,"87,99 €"
Luigi's Mansion 3,Next Level Games, multiplayer,"85,99 €"
Dance Central 3,Harmonix Music Systems, ,"79,99 €"
Shatter,Sidhe Interactive, ,"76,99 €"
Luigi's Mansion: Dark Moon,Next Level Games, multiplayer,"84,99 €"
Psychonauts,BudCat, singleplayer,"86,99 €"
Dragon Quest XI: Echoes of an Elusive Age,Square Enix, singleplayer,"86,99 €"
F-Zero: Maximum Velocity,Nd Cube, multiplayer,"78,99 €"
Destiny: The Taken King,Bungie, ,"62,99 €"
Heroes of the Storm,Blizzard Entertainment, multiplayer,"63,99 €"
The Binding of Isaac: Afterbirth +,Edmund McMillen, singleplayer,"83,99 €"
Super Smash Bros. for Nintendo 3DS,Bandai Namco Games, multiplayer,"85,99 €"
Medieval II: Total War Kingdoms,Creative Assembly, multiplayer,"88,99 €"
DJMax Respect,Rocky Studio, multiplayer,"80,99 €"
Resogun: Defenders,Housemarque, ,"72,99 €"
The Legend of Zelda: Four Swords Anniversary Edition,GREZZO, ,"75,99 €"
Maboshi's Arcade,Mindware, singleplayer,"79,99 €"
Peggle Deluxe,PopCap, ,"79,99 €"
WWE SmackDown! Here Comes the Pain,Yuke's, multiplayer,"89,99 €"
Hot Shots Golf 3,Clap Hanz, multiplayer,"80,99 €"
Monopoly Tycoon,Deep Red, multiplayer,"77,99 €"
Sam & Max Episode 204: Chariots of the Dogs,Telltale Games, singleplayer,"71,99 €"
Machinarium,Amanita Design, singleplayer,"87,99 €"
Nioh 2,Team Ninja, multiplayer,"79,99 €"
Frozen Synapse,Mode 7 Games, multiplayer,"75,99 €"
Champions of Norrath,Snowblind Studios, multiplayer,"82,99 €"
The Witcher 3: Wild Hunt - Complete Edition,Saber Interactive, singleplayer,"85,99 €"
Freelancer,Digital Anvil, multiplayer,"89,99 €"
Bayonetta & Vanquish,PlatinumGames, singleplayer,"79,99 €"
Zenzizenzic,Ruud Koorevaar, ,"61,99 €"
NBA Jam: On Fire Edition,EA Sports, ,"75,99 €"
Galactic Civilizations III: Crusade,Stardock, ,"70,99 €"
Final Fantasy IV Advance,TOSE, singleplayer,"84,99 €"
Robo Recall,Epic Games, singleplayer,"76,99 €"
Super Stardust HD,Housemarque, multiplayer,"83,99 €"
Super Paper Mario,Intelligent Systems, singleplayer,"80,99 €"
Star Wars: Rogue Squadron,Factor 5, singleplayer,"85,99 €"
Professor Layton and the Curious Village,Level 5, singleplayer,"85,99 €"
AudioSurf,BestGameEver.com, singleplayer,"87,99 €"
Super Mario 64 DS,Nintendo, singleplayer,"83,99 €"
Dead Rising,Capcom, singleplayer,"77,99 €"
MLB The Show 17,Sony Interactive Entertainment, multiplayer,"69,99 €"
AMID EVIL,Indefatigable, singleplayer,"74,99 €"
Mario Kart 7,Retro Studios, multiplayer,"82,99 €"
Halo: The Master Chief Collection,343 Industries, multiplayer,"79,99 €"
Batman: The Enemy Within - Episode 5: Same Stitch,Telltale Games, singleplayer,"75,99 €"
NCAA Football 11,EA Tiburon, multiplayer,"75,99 €"
Phantasy Star Online Episode I & II,Sonic Team, multiplayer,"85,99 €"
Persona 4 Arena Ultimax,Arc System Works, ,"43,99 €"
Pikmin 3 Deluxe,Eighting, singleplayer,"84,99 €"
Fire Emblem: Path of Radiance,Intelligent Systems, singleplayer,"89,99 €"
Super Mega Baseball,Metalhead Software, ,"72,99 €"
DDRMAX: Dance Dance Revolution,KCET, multiplayer,"87,99 €"
F355 Challenge,Sega, ,"83,99 €"
The Elder Scrolls III: Bloodmoon,Bethesda Softworks, singleplayer,"83,99 €"
Boom Blox,EA LA, multiplayer,"80,99 €"
Maximo: Ghosts to Glory,Capcom, singleplayer,"89,99 €"
BlazBlue: Central Fiction,Arc System Works, multiplayer,"77,99 €"
80 DAYS,inkle, singleplayer,"78,99 €"
Hearthstone: Heroes of Warcraft - Goblins Vs. Gnomes,Blizzard Entertainment, ,"61,99 €"
MotorStorm,Evolution Studios, multiplayer,"74,99 €"
WHAT THE GOLF?,Triband, singleplayer,"83,99 €"
God of War: Origins Collection,Ready at Dawn, singleplayer,"87,99 €"
Xenogears,SquareSoft, singleplayer,"92,99 €"
Space Rangers 2: Rise of the Dominators,1C, singleplayer,"89,99 €"
Tetris DS,Nintendo, multiplayer,"79,99 €"
Shin Megami Tensei: Devil Survivor,Atlus, singleplayer,"45,99 €"
Battlefield 3,EA DICE, ,"75,99 €"
Monster Hunter Tri,Capcom, multiplayer,"85,99 €"
Return to Castle Wolfenstein: Tides of War,Nerve Software, multiplayer,"87,99 €"
Heroes of Might and Magic IV,New World Computing, ,"76,99 €"
Command & Conquer: Red Alert 2,Westwood Studios, multiplayer,"89,99 €"
Shogun: Total War,Creative Assembly, multiplayer,"84,99 €"
Mega Man X Legacy Collection,Capcom, singleplayer,"86,99 €"
Rayman Legends: Definitive Edition,Ubisoft Montpellier, ,"84,99 €"
Shin Megami Tensei: Devil Survivor 2 Record Breaker,Atlus, singleplayer,"45,99 €"
Gears of War 4,The Coalition, multiplayer,"70,99 €"
Halo 5: Guardians,343 Industries, multiplayer,"64,99 €"
Football Manager 2012,Sports Interactive, ,"79,99 €"
Inscryption,Daniel Mullins Games, singleplayer,"87,99 €"
ZEN Pinball 2: South Park: Super-Sweet Pinball,Zen Studios, ,"60,99 €"
Trine 2: Director's Cut,"Frozenbyte, Inc.", ,"79,99 €"
Guild Wars Factions,ArenaNet, multiplayer,"84,99 €"
Guacamelee!,DrinkBox Studios, ,"78,99 €"
No More Heroes 2: Desperate Struggle,Grasshopper Manufacture, singleplayer,"88,99 €"
LEGO Star Wars II: The Original Trilogy,Traveller's Tales, multiplayer,"87,99 €"
80 Days (2015),inkle, singleplayer,"74,99 €"
Spore,Maxis, singleplayer,"57,99 €"
Unity of Command,2x2 Games, ,"73,99 €"
Colin McRae Rally 04,Codemasters, multiplayer,"82,99 €"
Skies of Arcadia Legends,Overworks, singleplayer,"87,99 €"
Fear Effect 2: Retro Helix,Kronos Digital Entertainment, singleplayer,"72,99 €"
Sega GT,TOSE, ,"79,99 €"
Kingdom: Two Crowns,Raw Fury, multiplayer,"72,99 €"
Hearthstone: Heroes of Warcraft - The Grand Tournament,Blizzard Entertainment, ,"41,99 €"
Eliza,Zachtronics Industries, singleplayer,"62,99 €"
"Time Gentlemen, Please!",Zombie Cow Studios, ,"74,99 €"
Horizon Zero Dawn: Complete Edition,Guerrilla, singleplayer,"65,99 €"
Mushihimesama,Cave, singleplayer,"84,99 €"
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,Nintendo, singleplayer,"78,99 €"
Total War: WARHAMMER II - Rise of the Tomb Kings,Creative Assembly, ,"70,99 €"
Guilty Gear -Strive-,Arc System Works, multiplayer,"80,99 €"
Frozen Synapse Prime,Double Eleven, ,"72,99 €"
Killzone 3,Guerrilla, ,"80,99 €"
Devil May Cry 3: Dante's Awakening,Capcom, singleplayer,"91,99 €"
Professor Layton and the Diabolical Box,Level 5, singleplayer,"85,99 €"
Europa Universalis IV: Wealth of Nations,Paradox Development Studio, ,"84,99 €"
Disciples II: Dark Prophecy,Strategy First, multiplayer,"87,99 €"
Silent Hill 2: Restless Dreams,KCET, singleplayer,"87,99 €"
Frostpunk,11 bit studios, singleplayer,"84,99 €"
Football Manager 2020,Sports Interactive, multiplayer,"60,99 €"
Polybius,Llamasoft, singleplayer,"72,99 €"
Crysis Warhead,Crytek, singleplayer,"79,99 €"
